BREAK DATE,BREAK YEAR,X COORD,Y COORD
1/12/1990,1990,299405.283,4846030.110
1/12/1990,1990,313115.178,4845326.174
1/12/1990,1990,313842.653,4842282.178
1/12/1990,1990,314714.653,4846912.931
1/12/1990,1990,312142.210,4847765.892
1/13/1990,1990,300392.387,4832563.667
1/13/1990,1990,313717.244,4834777.486
1/13/1990,1990,306209.134,4840053.614
1/13/1990,1990,302415.807,4832712.500
1/13/1990,1990,296451.858,4845132.262
1/13/1990,1990,321481.975,4841768.387
1/13/1990,1990,320050.039,4850122.734
1/13/1990,1990,312870.909,4848386.326
1/13/1990,1990,324212.245,4845261.554
1/13/1990,1990,316160.365,4840829.295
1/14/1990,1990,310285.250,4834538.634
1/14/1990,1990,312123.772,4850361.411
1/14/1990,1990,304472.406,4835157.247
1/14/1990,1990,326376.380,4843676.751
1/14/1990,1990,314964.829,4846997.838
1/15/1990,1990,305877.543,4843127.984
1/15/1990,1990,299539.573,4837295.472
1/15/1990,1990,311964.969,4845952.188
1/15/1990,1990,324461.881,4844506.233
1/15/1990,1990,299870.931,4834324.078
1/15/1990,1990,306607.082,4841787.202
1/15/1990,1990,311326.390,4842188.660
1/15/1990,1990,303855.725,4839282.350
1/15/1990,1990,301190.082,4844173.902
1/15/1990,1990,326109.652,4843362.490
1/16/1990,1990,313146.218,4847898.648
1/16/1990,1990,301825.721,4833687.377
1/16/1990,1990,315941.220,4844582.940
1/16/1990,1990,300447.724,4833471.101
1/16/1990,1990,316181.382,4844031.430
1/16/1990,1990,303025.366,4827662.566
1/17/1990,1990,315080.120,4850051.435
1/17/1990,1990,313708.030,4848527.226
1/17/1990,1990,316178.479,4851025.576
1/17/1990,1990,312676.345,4846031.009
1/17/1990,1990,304828.976,4842905.069
1/17/1990,1990,304128.307,4834027.068
1/17/1990,1990,311242.800,4844513.301
1/18/1990,1990,307902.434,4843157.789
1/18/1990,1990,328918.724,4845760.355
1/18/1990,1990,312740.981,4845783.369
1/18/1990,1990,314062.171,4844377.501
1/18/1990,1990,306180.080,4840015.802
1/18/1990,1990,320626.176,4847029.108
1/18/1990,1990,309579.640,4842861.601
1/18/1990,1990,306295.176,4840004.027
1/18/1990,1990,331039.910,4846645.581
1/19/1990,1990,310266.069,4841492.152
1/19/1990,1990,302145.549,4842059.037
1/19/1990,1990,302921.619,4839700.042
1/19/1990,1990,310764.617,4841543.225
1/19/1990,1990,311342.781,4849967.054
1/19/1990,1990,309873.149,4849130.896
1/19/1990,1990,324188.013,4842345.459
1/19/1990,1990,319563.222,4842693.364
1/19/1990,1990,301024.191,4844652.843
